"businessName","inspectionId","license","facilityType","risk","inspectionDate","inspectionType","pastFail","timeSinceLast","licenseStartDate","expirationDate","address","city","state","zipCode","ward","precinct","policeDistrict","licenseDescription","location","ageAtInspection","consumptionOnPremises","tobaccoRetail","limitedLicense","packageGoods","outdoorPatio","placeOfAmusement","tavern","retailFoodEstablishment","catersLiquorLicense","fillingStation","addressCount","wardCount","districtCount","foodType","burglary","sanitation","garbage","rodents","pastResponse"
"1155 CAFE","1319523","33354","Restaurant","Risk 1 (High)",2013-05-06,"Canvass",0,1.09315068493151,2011-07-16,2013-07-15,"1155 E 60TH ST 1ST","CHICAGO","IL","60637","20","w_20_p_34","2","Retail Food Establishment","(41.78585733608693, -87.5973785211828)",5.72602739726027,0,0,0,0,0,0,0,0,0,0,1,1,1,"breakfast",4.53947920490578,2.1946147590533,0.0852116681120058,0.286940518772353,0
"13 PINS TAPAS & GRILL","1271208","2048477","Restaurant","Risk 1 (High)",2012-06-04,"Canvass",1,0.0328767123287671,2010-09-24,2012-12-15,"4202 W IRVING PARK RD 1","CHICAGO","IL","60641","38","w_38_p_5","17","Retail Food Establishment","(41.953704295569295, -87.73264077374255)",1.6958904109589,1,0,0,0,0,0,0,0,0,0,1,1,1,"dinner",32.9082787045429,25.6299729138558,3.25039653412529,13.9016858378,0
"1.61 AND THE BAR10DOORS","659700","2013819","Restaurant","Risk 1 (High)",2011-12-14,"Canvass",0,1.63287671232877,2010-05-05,2012-05-15,"1251-1259 W TAYLOR ST 1ST","CHICAGO","IL","60607","2","w_2_p_25","12","Retail Food Establishment","(41.86927518164366, -87.65878741012848)",1.61107305936073,1,0,0,0,1,1,0,0,0,0,1,1,1,"unknown",19.4761431069725,10.0434569085461,10.7634693781164,1.92600267402429,1
"175 SOPRAFFINA MARKET CAFFE LLC","614596","1422648","Restaurant","Risk 1 (High)",2011-11-09,"Canvass",0,0.726027397260274,2010-04-16,2012-04-15,"175 W JACKSON BLVD","CHICAGO","IL","60604","2","w_2_p_49","1","Retail Food Establishment","(41.878014487249544, -87.63318903001444)",4.48778538812785,0,0,0,0,0,0,0,0,0,0,1,1,1,"grocery",8.39974925811918,15.9164249202774,2.28757169274093e-05,11.3774086679827,0
"#1 CHOP SUEY","1271460","1970042","Restaurant","Risk 1 (High)",2012-11-30,"Canvass",0,0.602739726027397,2011-08-16,2013-08-15,"4307 W IRVING PARK RD 1ST","CHICAGO","IL","60641","38","w_38_p_20","17","Retail Food Establishment","(41.953443449987795, -87.73576333403281)",3.50148401826484,0,0,0,0,0,0,0,0,0,0,2,2,2,"asian",9.71140792115401,9.79406516194672,11.2620359700144,12.4698622687973,0
"1ST UNITED METHODIST CHURCH OF CHICAGO AID SOCIETY","567589","1737191","Other","Risk 1 (High)",2011-09-01,"Canvass",0,0.879452054794521,2010-03-16,2012-03-15,"77 W WASHINGTON ST  615","CHICAGO","IL","60602","42","w_42_p_9","1","Retail Food Establishment","(41.883100539501605, -87.63033121191829)",4.2986301369863,0,0,0,0,0,0,0,0,0,0,1,1,1,"unknown",6.32320681455414,17.6325306614526,2.34682321778907e-05,7.29412756404982,0
"1ST UNITED METHODIST CHURCH OF CHICAGO AID SOCIETY","1345457","1737191","Other","Risk 1 (High)",2013-08-15,"Canvass",0,1.95616438356164,2012-03-16,2014-03-15,"77 W WASHINGTON ST  615","CHICAGO","IL","60602","42","w_42_p_9","1","Retail Food Establishment","(41.883100539501605, -87.63033121191829)",6.25479452054795,0,0,0,0,0,0,0,0,0,0,1,1,1,"unknown",9.51353349429042,23.615119095297,1.91994072298553e-07,13.134066592463,0
"#1 WOK N ROLL","1154251","58961","Restaurant","Risk 1 (High)",2012-03-07,"Canvass",0,0.542465753424658,2010-06-16,2012-06-15,"1408 E 53RD ST","CHICAGO","IL","60615","4","w_4_p_47","2","Retail Food Establishment","(41.79962568927282, -87.59137367044976)",4.56175799086758,0,0,0,0,0,0,0,0,0,0,1,1,1,"asian",12.8937303555693,1.52207770512436,21.1550930490645,5.08264398767743,0
"2002 DONUTS INC","1292213","1489621","Restaurant","Risk 2 (Medium)",2012-09-28,"Canvass",0,1.47945205479452,2011-02-16,2013-02-15,"3200 N CLARK ST","CHICAGO","IL","60657","44","w_44_p_20","19","Retail Food Establishment","(41.93999455649383, -87.65088551466476)",5.61906392694064,0,0,0,0,0,0,0,0,0,0,1,1,1,"breakfast",65.7505368983177,39.9709458464299,31.5619222854894,101.187107777654,0
"240 CAFE & LOUNGE","1188316","1741971","Other","Risk 3 (Low)",2012-08-16,"Canvass",0,0.0410958904109589,2011-09-16,2013-09-15,"3948 W LAWRENCE AVE 1","CHICAGO","IL","60625","39","w_39_p_12","17","Retail Food Establishment","(41.968357068238525, -87.72757835154994)",5.38630136986301,0,0,0,0,0,0,1,0,0,0,1,1,1,"bar",11.6114567548498,27.1535794728398,9.67400141302834,28.1654611190643,0
