"businessName","inspectionId","license","facilityType","risk","inspectionDate","inspectionType","pastFail","timeSinceLast","licenseStartDate","expirationDate","address","city","state","zipCode","ward","precinct","policeDistrict","licenseDescription","location","ageAtInspection","consumptionOnPremises","tobaccoRetail","limitedLicense","packageGoods","outdoorPatio","placeOfAmusement","tavern","retailFoodEstablishment","catersLiquorLicense","fillingStation","addressCount","wardCount","districtCount","foodType","burglary","sanitation","garbage","rodents","pastResponse","response"
"MOBIL FOOD MART","1229233","6381","Other","Risk 1 (High)",2012-05-30,"Canvass",0,0.726027397260274,2010-06-16,2012-06-15,"3901 N BROADWAY","CHICAGO","IL","60613","46","w_46_p_15","19","Retail Food Establishment","(41.95277256559229, -87.64950743619116)",4.79178082191781,0,1,0,0,0,0,0,0,0,1,1,1,1,"mart",59.1221698268798,9.73738939131215,10.082826724008,32.6857689988926,0,0
"M HENRIETTA","1235275","2037187","Restaurant","Risk 1 (High)",2012-07-11,"Canvass",0,1.44931506849315,2012-06-16,2014-06-15,"1133-1135 W GRANVILLE AVE 1ST","CHICAGO","IL","60660","48","w_48_p_31","24","Retail Food Establishment","(41.99445003239287, -87.6596937931052)",1.84109589041096,0,0,0,0,0,0,0,0,0,0,1,1,1,"unknown",34.1979926148094,22.2718831778915,6.57509717446708,35.6359842028169,0,0
"BARBECUE KING RESTAURANT","1228106","32172","Restaurant","Risk 1 (High)",2013-08-19,"Canvass",0,1.04383561643836,2012-06-16,2014-06-15,"2148 S ARCHER AVE","CHICAGO","IL","60616","25","w_25_p_16","9","Retail Food Establishment","(41.853510030263166, -87.6337504691269)",6.01369863013699,0,0,0,0,0,0,0,0,0,0,1,1,1,"dinner",24.7101261864883,9.45241696294643,23.9587577458482,19.8171121170519,1,0
"KENTUCKY FRIED CHICKEN","545792","2016979","Restaurant","Risk 2 (Medium)",2012-01-31,"Canvass",0,1.98904109589041,2011-06-16,2013-06-15,"224 E 103RD ST 1","CHICAGO","IL","60628","9","w_9_p_14","5","Retail Food Establishment","(41.70736525556146, -87.61757383925458)",1.93424657534247,0,0,0,0,0,0,0,0,0,0,2,2,2,"dinner",47.6979505015193,10.9770722825828,42.4020767477619,8.53938452818521,0,0
"HARRY CARAY'S SEVENTH INNING STRETCH","1227635","1165412","Restaurant","Risk 1 (High)",2012-10-25,"Canvass",0,0.619178082191781,2012-01-16,2014-01-15,"5700 S CICERO AVE TC19","CHICAGO","IL","60638","23","w_23_p_8","8","Retail Food Establishment","(41.789329323265385, -87.74164564419637)",5.69303652968037,1,0,0,0,0,0,0,0,0,0,1,1,1,"unknown",1.80280794585696,1.87204178898825,0.361586699548092,1.11812333659713,0,0
"GAELIC IMPORTS","670969","1817934","Grocery Store","Risk 1 (High)",2012-02-29,"Canvass",0,0.917808219178082,2011-12-16,2013-12-15,"6346 W GUNNISON ST 1","CHICAGO","IL","60630","45","w_45_p_2","16","Retail Food Establishment","(41.96852535557429, -87.78743940246437)",4.75079908675799,0,0,1,0,0,0,0,0,0,0,1,1,1,"unknown",11.8046329588161,1.43480220220711,16.2423225192719,1.69709726681847,0,0
"TRU","569726","80153","Restaurant","Risk 1 (High)",2011-11-30,"Canvass",0,1.78630136986301,2011-05-16,2013-05-15,"676 N ST CLAIR ST 1ST SP1","CHICAGO","IL","60611","42","w_42_p_53","18","Retail Food Establishment","(41.89485296136011, -87.62290180042824)",4.5453196347032,1,0,0,0,0,0,0,0,0,0,1,1,1,"unknown",11.1746723299432,16.454407122423,0.00283346162921861,8.19111743453244,0,0
"EL KAPORAL RESTAURANT","1202557","2178035","Restaurant","Risk 1 (High)",2012-12-14,"Canvass",0,0.336986301369863,2012-08-16,2014-09-15,"5078 S ARCHER AVE 1ST","CHICAGO","IL","60632","23","w_23_p_25","8","Retail Food Establishment","(41.801114147503455, -87.72792013428698)",0.328881278538813,0,0,0,0,0,0,0,0,0,0,1,1,1,"dinner",18.8071051229779,15.2513968310767,12.7608091479542,42.8526791076438,0,0
"DRAGON EXPRESS RESTAURANT","1227810","2129313","Restaurant","Risk 1 (High)",2013-03-15,"Canvass",0,0.882191780821918,2011-12-01,2013-12-15,"225 E 47TH ST 1ST","CHICAGO","IL","60653","3","w_3_p_35","2","Retail Food Establishment","(41.80921877834854, -87.62003481112403)",1.28755707762557,0,0,0,0,0,0,0,0,0,0,1,1,1,"asian",35.9643379365508,43.5237390328888,21.82166444176,25.0668523946836,0,1
"CARNICERIA GERARDO'S","1146382","40503","Grocery Store","Risk 1 (High)",2013-04-30,"Canvass",0,0.536986301369863,2011-06-16,2013-06-15,"3116 W POPE JOHN PAUL II DR","CHICAGO","IL","60632","14","w_14_p_23","9","Retail Food Establishment","(41.815529359881204, -87.70255656657088)",5.70958904109589,0,0,0,0,0,0,0,0,0,0,1,1,1,"grocery",20.0744851283479,21.9145568248331,13.1854852126828,22.8626226401172,1,1
"WESTIN RIVER NORTH CHGO HOTEL","612547","55247","Restaurant","Risk 1 (High)",2011-11-04,"Canvass",0,1.01917808219178,2010-02-16,2012-02-15,"320 N DEARBORN ST","CHICAGO","IL","60654","42","w_42_p_55","18","Retail Food Establishment","(41.88807037763845, -87.62969225672218)",4.71769406392694,1,0,0,0,0,0,0,0,0,0,4,1,1,"cater",16.0558119820325,17.0455420799551,1.2003852580165,3.65182343612797,0,1
"YEMEN RESTAURANT","604537","1170552","Restaurant","Risk 1 (High)",2011-12-06,"Canvass",0,0.63013698630137,2009-12-16,2011-12-15,"4750 N KENNETH AVE","CHICAGO","IL","60630","45","w_45_p_10","17","Retail Food Establishment","(41.96772183453367, -87.74018412043799)",4.80547945205479,0,0,0,0,0,0,0,0,0,0,1,1,1,"dinner",21.3793341803391,7.3662524509979,16.9350525872927,10.3479226752458,0,0
"SUBWAY","1151376","1517669","Restaurant","Risk 1 (High)",2013-06-17,"Canvass",0,0.380821917808219,2011-11-16,2013-11-15,"8614 S KEDZIE AVE","CHICAGO","IL","60652","18","w_18_p_10","8","Retail Food Establishment","(41.736468528139476, -87.70219284070593)",5.58892694063927,0,0,0,0,0,0,0,0,0,0,5,5,5,"sandwich",14.5555881319462,7.60700688077498,2.62081535205712,3.66861793100461,0,0
"CITGO FUEL & MINI-MART","1326206","1476556","Grocery Store","Risk 3 (Low)",2013-03-08,"Canvass",0,2,2012-08-16,2014-08-15,"1900 S PULASKI RD","CHICAGO","IL","60623","24","w_24_p_45","10","Retail Food Establishment","(41.85498313235789, -87.72499648315791)",5.56449771689498,0,1,0,0,0,0,0,0,0,1,2,2,2,"mart",25.9965970734743,13.5296076600726,58.4221441077356,24.0212837151644,1,0
"WEST SIDE GYROS & PITA KABOB","1146491","2188927","Restaurant","Risk 1 (High)",2013-08-15,"Canvass",0,0.4,2012-09-25,2014-10-15,"754 S WESTERN AVE GROUND","CHICAGO","IL","60612","2","w_2_p_",NA,"Retail Food Establishment","(41.871363410032444, -87.68631728625324)",0.887671232876712,0,0,0,0,0,0,0,0,0,0,1,1,1,"dinner",29.6954800610582,61.0877686846025,32.106119554391,20.2676079469194,0,1
"AFC SUSHI @ JEWEL OSCO #3441","1322355","1516125","Grocery Store","Risk 1 (High)",2013-02-07,"Canvass",0,0.175342465753425,2011-02-16,2013-02-15,"2940 N ASHLAND AVE","CHICAGO","IL","60657","32","w_32_p_30","19","Retail Food Establishment","(41.93547203273165, -87.66865454314257)",5.98082191780822,0,0,0,0,0,0,0,0,0,0,1,1,1,"grocery",21.9085289609396,38.7823411207658,21.296638480286,122.186067641971,0,0
